genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE,powdery_mildew_BLUE,leaf_rust_BLUE,septoria_tritici_ssp_BLUE,protein_content_BLUE,sds_sedimentation_volume_BLUE
TA00266,130.38,83.72,NA,0.1,2.74,3.08,NA,NA
TA00267,121.24,83.06,33.15,1.56,2.57,3.09,15.16,56.03
TA00268,118.8,68.61,32.04,1.7,4.23,3.02,15.05,46.79
TA00269,120.92,81.11,NA,1.49,4.04,1.94,NA,NA
TA00270,125.79,60.93,NA,1.74,2.32,1.94,NA,NA
TA00271,127.27,62.72,NA,4.49,4.04,3.08,NA,NA
TA00272,126.35,92.99,NA,0.66,2.16,3.08,NA,NA
TA00273,124.8,62.65,NA,0.1,2.74,3.08,NA,NA
TA00274,124.82,82.44,NA,2.24,1.87,NA,NA,NA
TA00275,130.6,80.99,NA,2.24,1.87,NA,NA,NA
TA00276,127.65,80.78,NA,2.24,3.16,NA,NA,NA
TA00277,127.54,70.21,NA,1.97,5.09,NA,NA,NA
TA00278,123.31,60.9,36.19,1.96,3.18,3.32,14.31,43.66
TA00279,124.33,61.58,31.31,1.87,4.32,3.19,14.95,54.45
TA00280,122.89,65.17,34.73,1.87,3.48,3.65,14.37,49.24
TA00281,127.77,62.47,NA,1.86,0.58,NA,NA,NA
TA00282,124.63,85.69,NA,1.86,3.16,NA,NA,NA
TA00283,126.02,79.77,NA,NA,NA,NA,NA,NA
TA00284,125.45,61.8,NA,1.86,0.58,NA,NA,NA
TA00285,135.33,79.01,NA,1.86,3.16,NA,NA,NA
TA00286,127.52,84.27,NA,1.86,3.16,NA,NA,NA
TA00287,NA,NA,NA,NA,NA,NA,NA,NA
TA00288,123.18,66.26,NA,NA,NA,NA,NA,NA
TA00289,134.99,129.84,42.16,1.96,2.4,2.31,16.45,42.59
TA00290,127.65,64.45,NA,2.08,1.87,NA,NA,NA
TA00291,126.7,66.35,NA,1.86,3.16,NA,NA,NA
TA00292,127.51,64.16,NA,1.86,1.87,NA,NA,NA
TA00293,123.8,79.15,NA,1.86,0.58,NA,NA,NA
TA00294,130.79,87.28,NA,NA,NA,NA,NA,NA
TA00295,126.56,85.74,NA,NA,NA,NA,NA,NA
TA00296,128.43,99.81,NA,1.86,1.87,NA,NA,NA
TA00297,141.74,65.87,NA,1.86,1.29,NA,NA,NA
TA00298,123.48,70.01,NA,1.86,0.58,NA,NA,NA
TA00299,125.81,66.66,NA,1.86,0.58,NA,NA,NA
TA00300,123.23,92.09,45.72,1.96,4.26,3.15,14.96,49.87
TA00301,132.35,80,27.35,2.05,5.9,3.28,13.85,43.18
TA00302,132.94,64.65,NA,1.97,1.87,NA,NA,NA
TA00303,139.78,123.51,NA,1.97,2,NA,NA,NA
TA00304,125.31,78.84,32.88,1.87,3.17,3.41,14.96,39.15
TA00305,130.43,68.45,30.78,1.51,1.19,2.97,13.75,49.05
TA00306,131.66,71.61,33.41,1.96,2.84,2.73,13.44,55.22
TA00307,125.75,81.62,34.38,1.96,3.25,3.88,14.63,36.01
TA00308,120.5,84.5,NA,1.86,1.87,NA,NA,NA
TA00309,124.63,67.26,NA,1.86,0.58,NA,NA,NA
TA00310,123.15,98.11,NA,1.86,0.58,NA,NA,NA
TA00311,123.3,100.29,NA,1.86,0.58,NA,NA,NA
TA00312,123.61,98.06,NA,1.86,0.58,NA,NA,NA
TA00313,122.79,104.47,NA,NA,NA,NA,NA,NA
TA00314,123.15,92.96,NA,1.86,0.58,NA,NA,NA
TA00315,125.83,95.84,NA,1.97,1.87,NA,NA,NA
TA00316,129.3,128.99,NA,1.97,3.16,NA,NA,NA
TA00317,123.65,70.03,NA,1.98,2.02,NA,NA,NA
TA00318,124.61,67.38,NA,1.86,5.09,NA,NA,NA
TA00319,127.95,71.7,NA,NA,NA,NA,NA,NA
TA00320,126.56,106.7,NA,NA,NA,NA,NA,NA
TA00321,129.56,83.35,NA,NA,NA,NA,NA,NA
TA00322,121.41,64.19,33.22,1.87,1.31,4,12.83,49.32
TA00323,125.31,66.71,NA,1.86,1.87,NA,NA,NA
TA00324,133.57,119.25,NA,1.86,1.87,NA,NA,NA
TA00325,134.76,116.9,NA,1.86,2.93,NA,NA,NA
TA00326,134.44,118.27,NA,1.86,3.29,NA,NA,NA
TA00327,134.93,118.32,NA,1.86,1.87,NA,NA,NA
TA00328,124.3,63.11,NA,2.08,3.29,NA,NA,NA
TA00329,125.79,100.01,NA,NA,NA,NA,NA,NA
TA00330,125.53,64.57,34.81,1.87,1.88,3.08,13.35,45.97
TA00331,128.11,92.48,NA,3.86,4.22,NA,NA,NA
TA00332,125.32,90.3,NA,2.08,3.16,NA,NA,NA
TA00333,126.56,76.94,NA,NA,NA,NA,NA,NA
TA00334,138.24,121.04,NA,NA,NA,NA,NA,NA
TA00335,130.45,63.09,NA,2.08,1.87,NA,NA,NA
TA00336,128.3,66.19,44.44,1.96,3.75,2.96,13.36,46.85
TA00337,125.79,75.99,NA,NA,NA,NA,NA,NA
TA00338,125.79,79.91,NA,NA,NA,NA,NA,NA
TA00339,124.41,76.75,NA,2.08,3,NA,NA,NA
TA00340,115.31,73.87,NA,2.08,3.16,NA,NA,NA
TA00341,119.18,86.91,NA,2.08,3.16,NA,NA,NA
TA00342,122.79,73.28,NA,1.97,3.16,NA,NA,NA
TA00343,121.16,89.3,NA,1.97,1.87,NA,NA,NA
TA00344,121.16,79.92,NA,1.86,0.58,NA,NA,NA
TA00345,121.19,102.87,NA,1.97,3.16,NA,NA,NA
TA00346,122.71,100.01,NA,2.08,5.09,NA,NA,NA
TA00347,139.79,120.8,NA,1.98,0.65,NA,NA,NA
TA00348,118.51,62.82,NA,2.08,0.58,NA,NA,NA
TA00349,118.32,62.97,NA,2.08,0.58,NA,NA,NA
TA00350,119.32,68.95,NA,2.08,0.58,NA,NA,NA
TA00351,120.84,72.75,NA,2.08,0.58,NA,NA,NA
TA00352,122.64,77.71,NA,1.86,0.58,NA,NA,NA
TA00353,139.1,110.08,NA,1.86,0.58,NA,NA,NA
TA00354,124.35,95.89,NA,1.97,0.58,NA,NA,NA
TA00355,123.63,77.84,NA,NA,NA,NA,NA,NA
TA00356,124.48,73.68,NA,1.86,1.87,NA,NA,NA
TA00357,126.68,62.43,NA,1.86,0.58,NA,NA,NA
TA00358,118.8,67.7,NA,1.86,1.87,NA,NA,NA
TA00359,124.68,72.2,NA,1.97,0.58,NA,NA,NA
TA00360,128.79,125.06,NA,NA,NA,NA,NA,NA
TA00361,123.02,59.16,NA,NA,NA,NA,NA,NA
TA00362,119.8,82.05,NA,1.86,0.58,NA,NA,NA
TA00363,123.16,101.33,NA,1.86,3.16,NA,NA,NA
TA00364,121.08,61.5,53.12,1.87,4.08,3.35,15.92,55.46
TA00365,130.28,107.38,NA,1.86,1.87,NA,NA,NA
TA00366,129.95,73.95,NA,1.86,3.16,NA,NA,NA
TA00367,139.79,116.3,NA,2.14,4.43,NA,NA,NA
TA00368,131.19,110.17,NA,1.77,0.55,NA,NA,NA
TA00369,124.63,84.05,NA,1.86,1.87,NA,NA,NA
TA00370,126.77,100.38,NA,2.24,3.16,NA,NA,NA
TA00371,124.48,80.08,NA,1.86,3.16,NA,NA,NA
TA00372,134.93,116.63,NA,2.08,1.87,NA,NA,NA
TA00373,140.52,102.29,NA,2.08,6.87,NA,NA,NA
TA00374,122.98,101.38,NA,2.24,5.09,NA,NA,NA
TA00375,128.56,94.88,NA,NA,3.16,NA,NA,NA
TA00376,125.15,75.5,NA,2.08,5.09,NA,NA,NA
TA00377,124.78,88.62,NA,1.86,3.16,NA,NA,NA
TA00378,124.47,82.13,NA,NA,NA,NA,NA,NA
TA00379,126.08,86.79,NA,NA,NA,NA,NA,NA
