genotype,days_to_heading_BLUE,plant_height_BLUE
C0101043,NA,NA
C0101044,NA,NA
C0101045,222,96.36
C0101046,NA,NA
C0101047,NA,83.28
C0101049,NA,NA
C0101050,NA,NA
C0101051,NA,NA
C0101052,NA,NA
C0101053,NA,NA
C0101054,NA,NA
C0101055,NA,NA
C0101056,NA,NA
C0101057,NA,NA
C0101058,NA,NA
C0101059,NA,NA
C0101060,NA,NA
C0101061,NA,NA
C0101062,NA,NA
C0101063,NA,NA
C0101064,NA,NA
C0101065,NA,NA
C0101066,NA,NA
C0101067,NA,NA
C0101068,NA,NA
C0101069,NA,NA
C0101070,NA,NA
C0101071,NA,60.52
C0101072,NA,NA
C0101073,NA,NA
C0101074,NA,NA
C0101075,NA,NA
C0101076,NA,NA
C0101077,NA,NA
C0101078,NA,NA
C0101079,NA,NA
C0101080,NA,NA
C0101081,NA,NA
C0101082,NA,NA
C0101083,NA,NA
C0101084,NA,NA
C0101085,NA,NA
C0101086,NA,NA
C0101087,NA,NA
C0101088,NA,NA
C0101089,NA,NA
C0101090,NA,84.46
C0101091,NA,NA
C0101092,NA,NA
C0101093,NA,NA
C0101094,NA,NA
C0101095,NA,NA
C0101096,NA,NA
C0101097,NA,NA
C0101098,NA,NA
C0101099,NA,NA
C0101100,NA,NA
C0101101,NA,NA
C0101102,NA,NA
C0101103,NA,93.88
C0101104,NA,NA
C0101105,NA,NA
C0101106,NA,NA
C0101107,NA,NA
C0101108,NA,NA
C0101109,NA,NA
C0101110,NA,NA
C0101111,NA,NA
C0101112,NA,NA
C0101113,NA,NA
C0101114,NA,NA
C0101115,NA,NA
C0101117,NA,NA
C0101118,225.19,89.64
C0101119,NA,NA
C0101120,NA,NA
C0101121,NA,NA
C0101122,NA,NA
C0101123,NA,NA
C0101124,NA,NA
C0101125,NA,NA
C0101126,NA,NA
C0101127,NA,NA
C0101128,NA,NA
C0101129,NA,NA
C0101130,NA,NA
C0101131,NA,NA
C0101132,NA,NA
C0101133,NA,NA
C0101134,NA,NA
C0101135,NA,NA
C0101136,NA,NA
C0101137,NA,NA
C0101138,NA,NA
C0101139,NA,NA
C0101140,NA,NA
C0101141,NA,NA
C0101142,NA,NA
C0101143,NA,NA
C0101144,NA,NA
C0101145,NA,NA
C0101146,NA,NA
C0101147,NA,NA
C0101148,NA,NA
C0101149,NA,NA
C0101150,NA,NA
C0101151,NA,NA
C0101152,NA,NA
C0101153,NA,NA
C0101154,NA,NA
C0101155,NA,NA
C0101156,NA,NA
C0101157,223.49,85.96
C0101158,231.4,97.29
C0101159,228.48,87.07
C0101160,NA,NA
C0101161,NA,NA
C0101162,219.4,117.09
C0101163,NA,NA
C0101164,224.62,88.16
C0101165,222.84,88.16
C0101166,224.61,90.25
C0101167,221.14,79.32
C0101168,225.9,102.37
C0101169,223.17,104.55
C0101170,225.25,82.65
C0101171,NA,NA
C0101172,223.76,90.6
C0101173,225.57,81.05
C0101174,218.48,95.51
C0101175,228.67,81.52
C0101176,NA,85.96
C0101177,221.43,90.34
C0101178,227.44,79.17
C0101179,222.51,91.98
C0101180,222.18,77.2
C0101181,NA,NA
C0101182,NA,NA
C0101183,NA,NA
C0101184,NA,NA
C0101185,222.66,96.65
C0101186,222.99,87.35
C0101188,NA,NA
C0101189,224.26,92.26
C0101190,NA,NA
C0101191,221.97,101.23
C0101192,NA,82.57
C0101193,224.94,80.87
C0101194,224.24,106.65
C0101195,220.14,95.46
C0101196,218.05,94.29
C0101197,NA,NA
C0101198,NA,NA
C0101199,NA,NA
C0101200,NA,NA
C0101201,220.48,83.13
C0101202,NA,NA
C0101203,NA,NA
C0101204,NA,NA
C0101205,240.05,119.35
C0101206,226.85,98.57
C0101207,NA,NA
C0101208,NA,NA
C0101209,NA,NA
C0101210,NA,NA
C0101211,NA,NA
C0101212,227.73,89.43
C0101213,NA,NA
C0101214,220.52,96.78
C0101215,NA,NA
C0101216,229.97,101.4
C0101217,222.07,92.87
C0101218,NA,NA
C0101219,228.75,96.87
C0101220,NA,NA
C0101221,NA,NA
C0101222,233.13,83.78
C0101223,230.19,104.15
C0101224,228.2,101
C0101225,NA,NA
C0101226,NA,NA
C0101227,NA,NA
C0101229,NA,NA
C0101230,NA,NA
C0101231,NA,NA
C0101232,NA,NA
C0101233,NA,NA
C0101234,NA,NA
C0101235,NA,NA
C0101236,NA,NA
C0101237,NA,NA
C0101238,NA,NA
C0101239,NA,NA
C0101240,NA,NA
C0101241,NA,NA
C0101242,NA,NA
C0101243,NA,NA
C0101244,NA,NA
C0101245,NA,NA
C0101246,NA,NA
C0101248,NA,NA
C0101249,NA,NA
C0101250,225.19,113.1
C0101251,232.04,97.26
C0101252,NA,NA
C0101253,NA,NA
C0101254,230.38,88.43
C0101255,NA,NA
C0101256,NA,NA
C0101257,NA,NA
C0101258,NA,NA
C0101259,NA,NA
C0101260,NA,NA
C0101261,NA,NA
C0101262,NA,NA
C0101263,NA,NA
C0101264,NA,NA
C0101265,NA,NA
C0101266,NA,95.8
C0101268,NA,NA
C0101269,NA,NA
C0101270,NA,NA
C0101271,NA,NA
C0101272,NA,NA
C0101273,NA,NA
C0101274,NA,NA
C0101276,NA,NA
C0101277,NA,NA
C0101278,NA,NA
C0101279,NA,NA
C0101280,NA,NA
C0101281,NA,NA
C0101282,NA,NA
C0101283,NA,NA
C0101284,NA,NA
C0101285,NA,NA
C0101286,NA,NA
C0101287,NA,NA
C0101288,NA,NA
C0101289,NA,NA
C0101290,228.86,84.77
C0101291,NA,NA
C0101292,230.31,82.1
C0101293,228.54,91.09
C0101294,NA,82.09
C0101295,NA,NA
C0101296,NA,NA
C0101297,NA,NA
C0101298,NA,NA
C0101299,NA,NA
C0101301,NA,NA
C0101302,238.59,121.29
C0101303,221.78,81.98
C0101304,225.38,93.03
C0101305,227.44,89.07
C0101306,NA,NA
C0101308,NA,85.94
C0101309,NA,90.79
C0101310,NA,90.54
C0101311,NA,77.79
C0101312,NA,89.29
C0101313,NA,77.15
C0101314,NA,NA
C0101315,NA,78.79
C0101316,NA,79.54
C0101317,NA,NA
C0101318,NA,NA
C0101319,NA,88.29
C0101320,NA,88.2
C0101321,NA,81.91
C0101322,NA,NA
C0101323,NA,85.13
C0101324,NA,77.57
C0101325,NA,85.75
C0101326,NA,78.04
C0101327,NA,84.8
C0101328,NA,NA
C0101329,NA,88.53
C0101330,NA,87.29
C0101331,NA,94.04
C0101332,NA,80.04
C0101333,NA,83.29
C0101334,NA,81.29
C0101335,NA,73.79
C0101336,NA,NA
C0101337,222.94,83.89
C0101338,NA,91.54
C0101339,228.65,96.87
C0101340,NA,78.29
C0101341,NA,NA
C0101342,NA,NA
C0101343,222.03,100.96
C0101344,NA,78.54
C0101345,NA,89.79
C0101346,223.44,100.21
C0101347,NA,92.29
C0101348,223.68,93.35
C0101349,223.68,102.25
C0101350,229.28,94.88
C0101351,NA,86.82
