accenumb,campaign,days_to_heading,thousand_kernel_weight,plant_height
C0101353,1983-1984,273,44.7,88.67
C0101355,1983-1984,270,45,101.67
C0101360,1983-1984,223,47.7,81.13
C0101385,1983-1984,223,42,80.4
C0101394,1983-1984,270,43,93
C0101402,1983-1984,270,39.3,89
C0101410,1983-1984,270,43.7,83.67
C0101472,1983-1984,276,54.3,82
C0101501,1983-1984,270,44,81
C0101501,1983-1984,222,39.7,74.53
C0101505,1983-1984,231,44.75,86.63
C0101550,1983-1984,270,36.7,80
C0101550,1983-1984,223,36.9,73.78
C0101587,1983-1984,270,49.7,103.67
C0101593,1983-1984,273,46.3,119.67
C0101596,1983-1984,227,53.2,84.75
C0101618,1983-1984,223,50,83.75
C0101624,1983-1984,222,36.3,74.5
C0101625,1983-1984,227,50.25,82.25
C0101636,1983-1984,225,43,76
C0101638,1983-1984,222,42.5,88
C0101639,1983-1984,231,42,108.25
C0101647,1983-1984,227,46.3,92.88
C0101654,1983-1984,224,46.1,84.78
C0101658,1983-1984,222,48.8,70.78
C0101660,1983-1984,228,43.35,87.5
C0101662,1983-1984,227,44.8,81.4
C0101663,1983-1984,225,47.8,82.13
C0101665,1983-1984,227,49,82.38
C0101665,1983-1984,228,53,97.25
C0101666,1983-1984,270,43.3,99.33
C0101666,1983-1984,226,48.5,96.25
C0100116,1984-1985,238,48.4,102.13
C0100130,1984-1985,232,47.2,109.34
C0100316,1984-1985,234,49.65,90.54
C0100341,1984-1985,233,49.25,99.21
C0100347,1984-1985,231,53.05,96.75
C0100396,1984-1985,233,40.2,105.67
C0101034,1984-1985,242,40.75,88.25
C0101157,1984-1985,230,53.65,100.34
C0101162,1984-1985,231,43.15,100.88
C0101168,1984-1985,237,51.5,103.21
C0101169,1984-1985,233,54.65,96.42
C0101172,1984-1985,233,49.2,94.13
C0101172,1984-1985,240,44.5,84.04
C0101173,1984-1985,234,51.5,92.04
C0101173,1984-1985,241,47.35,80.75
C0101174,1984-1985,230,53.55,96.92
C0101185,1984-1985,233,53.35,103
C0101196,1984-1985,230,48.45,96.63
C0101206,1984-1985,239,45.15,101.34
C0101212,1984-1985,238,48.45,104.5
C0101224,1984-1985,237,44,94.84
C0101250,1984-1985,236,45.65,111.46
C0101290,1984-1985,239,49.1,87.54
C0101293,1984-1985,240,42,92.92
C0101339,1984-1985,240,51.45,101.21
C0101353,1984-1985,235,87.95,99.17
C0101354,1984-1985,242,43.6,95.84
