genotype,days_to_heading_BLUE,plant_height_BLUE,plant_density_BLUE,thousand_kernel_weight_BLUE,dry_matter_yield_BLUE,powdery_mildew_BLUE
CGF-6656,139.17,94.77,577.92,43.02,6305.8,2.56
CGF-6657,139.79,86.31,568.76,38.71,5697.18,1.83
CGF-6658,138.92,86.38,569.92,39.28,6302.86,2.54
CGF-6659,136.8,88.75,572.3,44.71,6402.87,1.68
CGF-6660,NA,NA,NA,NA,NA,NA
CGF-6663,NA,NA,NA,NA,NA,NA
CGF-6665,NA,NA,NA,NA,NA,NA
CGF-6666,NA,NA,NA,NA,NA,NA
CGF-6668,NA,NA,NA,NA,NA,NA
CGF-6669,NA,NA,NA,NA,NA,NA
CGF-6671,NA,NA,NA,NA,NA,NA
CGF-6672,NA,NA,NA,NA,NA,NA
CGF-6673,NA,NA,NA,NA,NA,NA
CGF-6679,NA,NA,NA,NA,NA,NA
CGF-668,NA,NA,NA,NA,NA,NA
CGF-6680,NA,NA,NA,NA,NA,NA
CGF-6691,NA,NA,NA,NA,NA,NA
CGF-6720,NA,NA,NA,NA,NA,NA
CGF-6721,NA,NA,NA,NA,NA,NA
CGF-6733,NA,NA,NA,NA,NA,NA
CGF-6734,NA,NA,NA,NA,NA,NA
CGF-6735,137.14,94.28,NA,NA,NA,NA
CGF-6736,NA,NA,NA,NA,NA,NA
CGF-6749,NA,NA,NA,NA,NA,NA
CGF-6750,NA,NA,NA,NA,NA,NA
CGF-6772,NA,NA,NA,NA,NA,NA
CGF-6773,NA,NA,NA,NA,NA,NA
CGF-6774,NA,NA,NA,NA,NA,NA
CGF-6775,NA,NA,NA,NA,NA,NA
CGF-6777,NA,NA,NA,NA,NA,NA
CGF-6778,NA,NA,NA,NA,NA,NA
CGF-6779,NA,NA,NA,NA,NA,NA
CGF-6780,NA,NA,NA,NA,NA,NA
CGF-6781,NA,NA,NA,NA,NA,NA
CGF-6782,NA,NA,NA,NA,NA,NA
CGF-6783,NA,NA,NA,NA,NA,NA
CGF-6787,NA,NA,NA,NA,NA,NA
CGF-6788,NA,NA,NA,NA,NA,NA
CGF-6789,NA,NA,NA,NA,NA,NA
CGF-6790,NA,NA,NA,NA,NA,NA
CGF-6791,NA,NA,NA,NA,NA,NA
CGF-6792,NA,NA,NA,NA,NA,NA
