genotype,end_of_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
21658,NA,126.71,40.19
21659,NA,114.39,39.01
21661,NA,NA,NA
21662,178.13,97.03,38.61
21663,178.13,93.18,46.41
21664,175.13,96.32,38.46
21668,168.12,89.59,47.49
21669,NA,NA,NA
21670,169.68,82.85,36.82
21671,168.39,84.55,40.56
21672,172.64,86.95,37.32
21673,167.05,77.26,38.22
21674,171.73,88.19,32.25
21675,166.34,78.49,41.17
21676,176.1,92.01,32.82
21677,179.64,105.27,30.53
21678,167.94,81.01,37.05
21679,165.79,83.91,48.06
21680,167.45,80.69,37.75
21681,169.87,87.56,42.45
21682,171.73,74.45,37.66
21683,173.11,124.7,42.84
21684,172.77,85.85,34.3
21685,174.74,104.98,32.17
21686,172.53,90.75,34.53
21687,167.92,93.08,36.58
21688,170.16,109.1,42.83
21689,166.34,74.97,44.08
21690,166.34,78.16,47.58
21691,169.47,82.78,37.05
21692,173.39,76.22,34.16
21693,167.44,66.24,35.18
21694,170.45,79.99,40.98
21695,167.68,81.39,44.65
21696,169.33,88.73,46.82
21697,166.03,74.4,46.01
21698,167.45,79.82,39.26
21699,168.74,72.3,34.5
21700,166.11,88.72,42.39
21701,166.11,64.67,38.5
21702,166.5,69.62,38.07
21703,167.68,63.91,39.96
21704,168.87,80.05,41.02
21705,164.45,49.33,35.98
21706,173.27,77.21,36.58
21707,167.91,58.74,38.35
21708,172.87,52.91,38.76
21709,166.26,52.04,40.21
21710,167.92,71.56,39.94
21711,167.68,73.87,35.38
21712,175.21,85.68,38.39
21713,176.39,97.21,34.61
21714,163.63,77.93,42.54
21715,177.04,91.12,40.05
21716,177.92,93.35,37.85
21717,175.44,96.11,36.49
21718,175.68,96.42,38.21
21719,164.45,75.41,41.78
21720,171.87,108.29,33.91
21721,170.75,72.75,35.81
21722,168.16,94.3,44.01
21723,169.68,85.39,38.23
21724,167.87,81.12,38.93
21725,170.39,107.57,41.64
21726,NA,NA,NA
21727,166.34,75.89,36.07
21728,172.87,122.06,44.29
21729,175.92,86.81,42.95
21730,164.11,74.29,43.6
21731,165.6,78.15,47.48
21732,165.39,80.61,39.42
21733,165.92,84.71,43.81
21734,165.16,78.65,45.43
21735,NA,NA,NA
21736,169.16,83.3,36.46
21737,169.16,87.1,39.61
21738,177.26,117.54,34.86
21739,171.35,73.84,38.86
21740,168.16,79.13,40.31
21741,NA,NA,NA
21742,NA,NA,NA
21743,NA,NA,NA
21745,172.88,98.18,28.59
21747,NA,NA,NA
21748,NA,NA,NA
21749,NA,NA,NA
21750,NA,NA,NA
21751,NA,NA,NA
21752,NA,NA,NA
21753,184.68,60.53,29.2
21754,172.66,110.2,34.8
21755,170.88,104.41,40.16
21756,172.45,104.18,36.12
21760,NA,NA,NA
21761,NA,NA,NA
21762,NA,NA,NA
21763,NA,NA,NA
21764,NA,NA,NA
21765,NA,NA,NA
21766,NA,NA,NA
21767,NA,NA,NA
21768,NA,NA,NA
21770,NA,NA,NA
21771,NA,NA,NA
21772,NA,NA,NA
21774,NA,NA,NA
21775,168.82,74.87,35.95
21776,NA,NA,NA
21777,NA,NA,NA
21778,NA,NA,NA
21779,176.82,NA,28.25
21780,NA,NA,NA
21781,NA,NA,NA
21782,NA,95.04,37.45
21783,NA,111.03,31.36
21784,NA,60.45,35.18
21785,NA,NA,NA
21786,NA,NA,NA
21788,NA,117.37,30.3
21789,NA,106.31,38.31
21791,NA,NA,NA
21795,164.38,74.71,39.86
21796,187.6,111.59,38.25
21797,178.58,96.84,36.79
21798,186.91,128.08,44.82
21800,NA,NA,NA
21801,NA,NA,NA
21802,NA,NA,NA
21803,NA,117.95,43.26
21804,NA,NA,NA
21805,NA,NA,NA
21806,NA,NA,NA
21808,176.06,96.12,35.67
21809,166.2,64.31,41.11
21810,161.66,58.79,40.72
21811,165.93,55.27,45.36
21812,165.49,82.91,42.61
21813,168.66,68.67,42.8
21814,163.66,80.59,48.78
21815,167.86,100,36.49
21816,168.56,75.44,41.59
21817,161.66,80.07,46.84
21818,162.93,54.91,40.45
21819,162.93,73.19,47.72
21820,172.1,78.43,35.2
21821,166.12,61.41,36.83
21822,163.29,65.04,38.42
21823,169.03,102.4,43.58
21824,167.56,104.44,46.46
21825,162.03,71.19,41.27
21826,166.29,79.35,39.37
21827,166.93,89.56,39.23
21828,162.03,65.6,40.19
21829,163.66,66.6,41.86
21830,167.6,87.4,39.92
21831,173.76,87.67,37.68
21832,164.29,94.71,42.55
21833,165.86,78.45,38.19
21834,177.22,55.87,32.41
21835,175.03,87.92,39.36
21836,NA,NA,NA
21837,162.03,64.44,35.24
21838,167.69,84.44,39.94
21839,169.03,106.4,43.16
21840,NA,NA,NA
21841,179.01,108.52,NA
21842,165.03,66.83,40.15
21843,164.39,81.03,41.67
21844,163.66,50.47,38.19
21845,165.29,86.4,42.5
21846,169.66,89.48,36.19
21847,164.56,79.94,34.03
