experiment_id,instcode,genus,accenumb,agent_id,doi,sowing_date,beginning_of_heading_date,date_of_heading,end_of_heading_date,flowering_date,plant_height,thousand_kernel_weight,sowing_beginning_of_heading,sowing_full_heading,sowing_end_of_heading,sowing_flowering,beginning_of_heading_full_heading,beginning_of_heading_end_of_heading,beginning_of_heading_flowering,full_heading_end_of_heading,full_heading_flowering,end_of_heading_flowering,name,description,campaign,site_name,longitude,latitude,remarks,days_to_heading
11001,POL003,Hordeum,40603,NA,NA,19780404,19780616,19780620,NA,NA,90,48.9,73,77,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,170
11001,POL003,Hordeum,40604,NA,NA,19780404,19780620,19780622,NA,NA,99,59.8,77,79,NA,NA,2,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,172
11001,POL003,Hordeum,40605,NA,NA,19780412,19780622,19780625,NA,NA,101,41.7,71,74,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,175
11001,POL003,Hordeum,40606,NA,NA,19780412,19780622,19780625,NA,NA,100,46.3,71,74,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,175
11001,POL003,Hordeum,40607,NA,NA,19780412,19780622,19780625,NA,NA,103,47.9,71,74,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,175
11001,POL003,Hordeum,40608,NA,NA,19780412,19780619,19780622,NA,NA,101,51.9,68,71,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,172
11001,POL003,Hordeum,40609,NA,NA,19780412,19780620,19780622,NA,NA,101,51.9,69,71,NA,NA,2,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,172
11001,POL003,Hordeum,40610,NA,NA,19780412,19780620,19780622,NA,NA,95,43.6,69,71,NA,NA,2,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,172
11001,POL003,Hordeum,40611,NA,NA,19780412,19780620,19780622,NA,NA,99,49.1,69,71,NA,NA,2,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,172
11001,POL003,Hordeum,40612,NA,NA,19780412,19780620,19780622,NA,NA,99,56,69,71,NA,NA,2,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,172
