genotype,end_of_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
1494,156.32,112.63,43.77
1495,164.43,133.47,38.38
1496,156.32,86.62,42.16
1497,163.32,89.26,38.67
1498,163.23,135.11,41.06
1499,159.91,78.79,43.01
15,NA,NA,NA
150,NA,NA,NA
1500,164.7,109.43,40.36
1501,156.56,118.75,42.69
1502,162.57,118.9,38.24
1503,161.7,95.77,34.11
1504,NA,NA,NA
1505,159.56,119.27,45.34
1506,160.56,89.23,44.64
1507,163.32,102.07,37.83
1508,165.08,143.78,41.07
1509,163.32,126.78,40.65
151,NA,NA,NA
1510,162.08,118.73,36.33
1511,163.32,129.79,38.78
1512,158.25,101.06,40.05
1513,164.26,140.94,33.69
1514,164.26,135.54,36.11
1515,164.52,125.85,37.46
1516,159.32,133.17,44.64
1517,157.8,129.4,43.89
1518,158.32,127.25,44.49
1519,NA,NA,NA
152,155.5,63.74,43.08
1520,163.8,137.9,42.42
1521,158.7,124.07,45.68
1522,152.94,87.52,49.5
1523,NA,NA,NA
1524,155.94,117.54,41.92
1525,156.94,133.44,51.54
1526,165.23,157.41,39.72
1527,NA,NA,NA
1528,NA,NA,NA
1529,158.46,128.38,38.98
153,NA,NA,NA
1530,160.32,108.97,41.8
1531,162.43,109.69,36.28
1532,161.05,140.81,38.16
1533,166.61,120.62,40.7
1534,161.94,120.46,38.52
1535,160.56,112.95,36.08
1536,158.8,96.28,38.03
1537,166.46,117.63,37.91
1538,155.94,99.41,44.98
1539,162.84,117.99,36.42
154,NA,NA,NA
1540,155.18,112.87,39
1541,166.08,109.3,38.18
1542,156.08,92.58,45.13
1543,158.08,131.23,47.04
1544,163.99,135.55,39.17
1545,158.94,133.63,40.19
1546,158.94,132.42,46.11
1547,160.46,122.74,44.27
1548,156.99,NA,37.94
1549,NA,NA,NA
155,NA,NA,NA
1550,163.7,147.74,33.69
1551,164.61,137.83,42.95
1552,165.46,151.27,41.73
1553,167.72,140.89,40.97
1554,160.87,128.25,46.83
1555,168.23,131.29,34.61
1556,155.7,87.05,44.25
1557,166.61,127.75,36.14
1558,165.68,112.06,40.85
1559,164.08,109.28,36.64
156,NA,NA,NA
1560,163.7,116.63,40.36
1561,164.7,113.28,36.38
1562,NA,NA,NA
1563,162.46,110.78,37.1
1564,161.84,99.63,40.63
1565,162.46,110.94,36.85
1566,162.4,116.68,43.51
1567,161.84,102.43,41.33
1568,159.32,94.92,38.2
1569,159.32,94.93,41.35
157,NA,NA,NA
1570,159.7,98.42,42.69
1571,158.94,98.93,43.86
1572,164.32,95.42,42.77
1573,162.7,106.78,37.11
1574,163.99,125.5,44.27
1575,169.56,128.65,40.09
1576,164.84,132.09,44.69
1577,158.18,138.29,46.15
1578,160.56,146.13,44.73
1579,165.24,134.41,45.06
158,NA,NA,NA
1580,167.98,130.02,40.67
1581,163.7,128.44,38.92
1582,166.23,151.63,36.35
1583,169.94,133.92,34.86
1584,166.32,135.23,39.68
1585,162.7,NA,44.05
1586,166.61,114.95,35.33
1587,154.18,114.64,44.72
1588,NA,NA,NA
1589,163.15,100.4,38.73
159,NA,NA,NA
1590,164.32,135.91,37.73
1591,157.32,127.35,38
1592,163.94,131.91,43.7
1593,160.56,139.22,43.17
1594,165.08,144.44,37.72
1595,NA,93.93,38.51
1596,169.18,101.78,39.84
1597,166.3,96.26,42.29
1598,163.32,111.32,40.4
1599,166.46,110.94,41.42
16,NA,NA,NA
160,NA,NA,NA
1600,165.46,113.44,44.08
1601,167.94,107.06,38.99
1602,162.7,114.07,38.38
1603,164.62,123.65,41.59
1604,166.08,122.96,36.74
1605,165.08,108.03,42.34
1606,166.7,113.07,38.2
1607,167.08,108.94,40.09
1608,169.94,113.64,40.28
1609,165.32,113.78,44.11
161,NA,NA,NA
1610,165.08,115.74,42.9
1611,163.94,105.95,40.1
1612,164.32,125.76,37.83
1613,NA,NA,NA
1614,162.7,137.13,38.65
1615,164.43,142.99,48.17
1616,163.7,146.14,45.87
1617,164.46,135.08,31.02
1618,160.41,138.73,35.07
1619,163.32,122.09,40.51
162,NA,NA,NA
1620,160.52,113.38,43.74
1621,166.43,135.25,37.27
1622,164.15,110.29,34.52
1623,159.88,134.45,40.08
1624,162.49,137.02,40.22
1625,159.05,125.26,41.82
1626,164.32,144.56,40.07
1627,NA,NA,NA
1628,165.32,134.5,37.79
1629,155.28,100.53,42.64
163,NA,NA,NA
1630,165.56,137.77,35.97
1631,158.15,120.24,38.14
1632,156.9,119.55,37.33
1633,157.83,112.25,35.22
1634,157.33,118.57,37.48
1635,165.08,133.81,40.5
1636,169.56,124.42,38.71
1637,160.94,122.78,43.45
1638,167.87,137.74,42.57
1639,165.56,132.69,38.56
164,NA,126.72,37.71
1640,166.32,116.8,38.59
1641,161.32,135.91,35.72
1642,159.84,85.27,36.24
1643,153.56,95.93,40.95
1644,155.94,102.58,40.95
1645,160.18,137.06,44.14
1646,163.7,96.93,35.9
1647,161.6,122.66,32.81
1648,162.08,132.94,39.61
1649,165.23,140.26,40.67
165,163.36,136.33,46.17
1650,159.43,121.61,36.19
1651,159.94,127.57,37.16
1652,160.32,129.57,35.2
1653,163.43,142.37,41.29
1654,162.7,127.74,38.79
1655,168.44,134.94,40.88
1656,165.7,143.57,45.42
1657,166.61,144.46,38.93
1658,161.56,113.23,44.75
1659,157.77,108.42,43.49
166,NA,NA,NA
1660,163.87,130.22,40.51
1661,163.59,123.65,41.58
1662,161.8,128.76,39.22
1663,NA,NA,NA
1664,160.8,121.6,41
1665,164.56,135.27,34.28
1666,167.08,135.78,39.32
1667,162.7,126.8,40.07
1668,160.87,112.75,37.61
