accenumb,agent_id,doi,sowing_date,beginning_of_heading_date,date_of_heading,end_of_heading_date,plant_height,thousand_kernel_weight,sowing_-_beginning_of_heading,sowing_-_end_of_heading,sowing_-_end_of_flowering,beginning_of_heading-end_of_heading,beginning_of_heading-end_of_flowering,end_of_heading-end_of_flowering,name,description,campaign,beginning_of_heading,end_of_heading
20015,NA,NA,19780408,NA,NA,19780623,134,43.3,NA,76,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,173
20015,NA,NA,19780406,NA,NA,19780621,105,49.1,NA,76,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,171
20015,NA,NA,19780408,NA,NA,19780624,120,14.8,NA,77,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,174
20015,NA,NA,19780408,NA,NA,19780624,85,25.4,NA,77,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,174
20015,NA,NA,19780408,NA,NA,19780624,88,26.6,NA,77,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,174
20015,NA,NA,19780408,NA,NA,19780624,91,29,NA,77,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,174
20015,NA,NA,19780408,NA,NA,19780624,120,29.6,NA,77,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,174
20015,NA,NA,19780408,NA,NA,19780624,125,29.9,NA,77,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,174
20015,NA,NA,19780408,NA,NA,19780624,106,30,NA,77,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,174
20015,NA,NA,19780408,NA,NA,19780624,115,30.4,NA,77,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,174
20015,NA,NA,19780406,NA,NA,19780622,112,31.1,NA,77,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
