genotype,days_to_heading_BLUE,plant_height_BLUE,plant_density_BLUE,thousand_kernel_weight_BLUE,dry_matter_yield_BLUE,powdery_mildew_BLUE
CGF-6472,140.81,129.29,NA,NA,NA,NA
CGF-6473,NA,NA,NA,NA,NA,NA
CGF-6474,NA,NA,NA,NA,NA,NA
CGF-6475,139.4,99.91,614.34,NA,5825.37,1.83
CGF-6476,136.32,101.88,537.21,NA,5934.4,1.98
CGF-6477,139.9,88.27,593.83,42.4,5802.96,2.19
CGF-648,NA,NA,NA,NA,NA,NA
CGF-6483,NA,NA,NA,NA,NA,NA
CGF-6484,NA,NA,NA,NA,NA,NA
CGF-6485,NA,NA,NA,NA,NA,NA
CGF-6486,NA,NA,NA,NA,NA,NA
CGF-6487,NA,NA,NA,NA,NA,NA
CGF-6490,NA,NA,NA,NA,NA,NA
CGF-6491,NA,NA,NA,NA,NA,NA
CGF-6498,NA,NA,NA,NA,NA,NA
CGF-6500,NA,NA,NA,NA,NA,NA
CGF-6501,NA,NA,NA,NA,NA,NA
CGF-6502,NA,NA,NA,NA,NA,NA
CGF-6505,NA,NA,NA,NA,NA,NA
CGF-6506,NA,NA,NA,NA,NA,NA
CGF-6507,NA,NA,NA,NA,NA,NA
CGF-6508,NA,NA,NA,NA,NA,NA
CGF-6509,NA,NA,NA,NA,NA,NA
CGF-6510,NA,NA,NA,NA,NA,NA
CGF-6512,NA,NA,NA,NA,NA,NA
CGF-6514,NA,NA,NA,NA,NA,NA
CGF-6516,NA,NA,NA,NA,NA,NA
CGF-6517,NA,NA,NA,NA,NA,NA
CGF-6518,NA,NA,NA,NA,NA,NA
CGF-6519,136.84,102.78,NA,NA,NA,2.47
CGF-6520,NA,NA,NA,NA,NA,NA
CGF-6521,NA,NA,NA,NA,NA,NA
CGF-6522,NA,NA,NA,NA,NA,NA
CGF-6523,NA,NA,NA,NA,NA,NA
CGF-6524,NA,NA,NA,NA,NA,NA
CGF-6532,139.11,87.28,498.48,NA,6518.7,2.4
CGF-6533,136.56,92.42,478.98,NA,5899.2,4.96
CGF-6534,NA,NA,NA,NA,NA,NA
CGF-6535,NA,NA,NA,NA,NA,NA
CGF-6536,NA,NA,NA,NA,NA,NA
CGF-6537,NA,NA,NA,NA,NA,NA
CGF-6538,NA,NA,NA,NA,NA,NA
CGF-6539,NA,NA,NA,NA,NA,NA
CGF-6540,NA,NA,NA,NA,NA,NA
CGF-6544,NA,NA,NA,NA,NA,NA
CGF-6546,NA,NA,NA,NA,NA,NA
CGF-6547,NA,NA,NA,NA,NA,NA
CGF-6548,NA,NA,NA,NA,NA,NA
CGF-6549,NA,NA,NA,NA,NA,NA
CGF-6552,NA,NA,NA,NA,NA,NA
CGF-6553,NA,NA,NA,NA,NA,NA
CGF-6557,NA,NA,NA,NA,NA,NA
CGF-656,NA,NA,NA,NA,NA,NA
CGF-6560,NA,NA,NA,NA,NA,NA
CGF-6562,NA,NA,NA,NA,NA,NA
CGF-6563,NA,NA,NA,NA,NA,NA
CGF-6564,NA,NA,NA,NA,NA,NA
CGF-6565,NA,NA,NA,NA,NA,NA
CGF-6566,NA,NA,NA,NA,NA,NA
CGF-6567,NA,NA,NA,NA,NA,NA
CGF-6569,NA,NA,NA,NA,NA,NA
CGF-657,NA,NA,NA,NA,NA,NA
CGF-6572,NA,NA,NA,NA,NA,NA
CGF-6573,136.59,89.5,566.04,46.83,5409.13,2.79
CGF-6574,139.48,85.4,565.52,44.15,5086.12,2.47
CGF-6582,NA,NA,NA,NA,NA,NA
CGF-6583,NA,NA,NA,NA,NA,NA
CGF-6585,NA,NA,NA,NA,NA,NA
CGF-6586,NA,NA,NA,NA,NA,NA
CGF-6587,NA,NA,NA,NA,NA,NA
CGF-6592,NA,NA,NA,NA,NA,NA
CGF-6593,NA,NA,NA,NA,NA,NA
CGF-6604,NA,NA,NA,NA,NA,NA
CGF-6605,NA,NA,NA,NA,NA,NA
CGF-6606,NA,NA,NA,NA,NA,NA
CGF-6607,NA,NA,NA,NA,NA,NA
CGF-6608,NA,NA,NA,NA,NA,NA
CGF-6610,NA,NA,NA,NA,NA,NA
CGF-6612,NA,NA,NA,NA,NA,NA
CGF-6619,NA,NA,NA,NA,NA,NA
CGF-6621,NA,NA,NA,NA,NA,NA
CGF-6622,NA,NA,NA,NA,NA,NA
CGF-6623,NA,NA,NA,NA,NA,NA
CGF-6646,NA,NA,NA,NA,NA,NA
CGF-6647,NA,NA,NA,NA,NA,NA
CGF-6648,NA,NA,NA,NA,NA,NA
CGF-6649,NA,NA,NA,NA,NA,NA
