genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
COPF 2406,152.57,86.41,42.47
COPF 2407,154.83,91.23,41.21
COPF 2408,NA,NA,NA
COPF 2409,151.46,90.45,45.08
COPF 2410,151.97,83.7,42.17
COPF 2411,NA,NA,NA
COPF 2412,NA,NA,NA
COPF 2413,NA,NA,NA
COPF 2414,NA,NA,NA
COPF 2415,NA,NA,NA
COPF 2416,125.21,77.99,NA
COPF 2455,124.21,86.49,NA
