accenumb,agent_id,doi,days_to_heading,plant_height,thousand_kernel_weight,hectolitric_weight,dry_matter_yield,lodging,protein_content,starch_content,name,description,campaign
COF 3644,NA,NA,149,NA,44,65.4,4147,NA,14.43,56.75,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,146,NA,42.9,66,4147,NA,14.65,56.59,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,149,NA,43.8,67.2,4147,NA,14.34,55.89,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,149,NA,42.45,64.2,4147,NA,14.33,56.32,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,149,NA,43.9,68.3,4147,NA,14.54,56.37,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,149,NA,43.7,64.8,4147,NA,14.75,56.59,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,151,NA,43,66.4,4147,NA,14.66,55.77,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,136,NA,42.35,66.4,4147,NA,14.33,55.83,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,149,NA,42.35,66.4,4147,NA,14.33,55.83,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,145,NA,42.4,64.1,4147,5,14.32,56.58,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,149,NA,41.8,67.2,4147,NA,14.56,55.38,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,149,NA,43.75,64.8,NA,NA,14.87,55.97,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,147,NA,41.15,NA,NA,4,14.11,56.27,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,135,NA,43.2,NA,NA,4,NA,NA,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,147,NA,44.35,NA,NA,5,NA,NA,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,149,NA,44.4,NA,NA,5,NA,NA,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,144,NA,42.6,NA,NA,4,NA,NA,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,152,NA,44.95,NA,NA,5,NA,NA,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,152,NA,43.25,NA,NA,5,NA,NA,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,145,NA,41.6,NA,NA,4,NA,NA,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,145,NA,40.65,NA,NA,4,NA,NA,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,150,NA,42.75,NA,NA,5,NA,NA,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,149,NA,42.9,NA,NA,4,NA,NA,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,149,NA,43.3,NA,NA,5,14.04,57.06,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,146,NA,37.5,NA,NA,5,NA,NA,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,150,NA,43.5,NA,NA,5,NA,NA,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,146,NA,43,NA,NA,5,NA,NA,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,146,NA,40.1,NA,NA,5,NA,NA,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,144,NA,41.5,NA,NA,4,14.21,50.7,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,146,NA,45.1,NA,NA,4,NA,NA,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,146,NA,42.9,NA,NA,5,NA,NA,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,151,NA,44.45,NA,NA,5,NA,NA,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,149,NA,43.55,NA,NA,5,NA,NA,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,146,NA,44.2,NA,NA,5,14.3,56.39,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,151,NA,43.2,NA,NA,5,NA,NA,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,0,NA,49.6,NA,NA,NA,NA,NA,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,151,NA,43.95,NA,NA,4,NA,NA,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,151,NA,46.5,NA,NA,5,NA,NA,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,151,NA,44.95,NA,NA,5,NA,NA,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,152,NA,46.85,NA,NA,5,NA,NA,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,NA,NA,45.6,NA,NA,NA,14.5,57.75,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,NA,NA,44.15,NA,NA,NA,NA,NA,Fundulea,Winter barley,1963-1964
COF 3005,NA,NA,138,NA,32.6,NA,NA,2,11.5,54.36,Fundulea,Winter barley,1964-1965
COF 3034,NA,NA,140,NA,38,NA,NA,NA,11.48,59.36,Fundulea,Winter barley,1964-1965
COF 3037,NA,NA,138,NA,34.8,NA,NA,NA,11.74,57.37,Fundulea,Winter barley,1964-1965
COF 3040,NA,NA,138,NA,37.1,NA,5940,4,11.77,57.55,Fundulea,Winter barley,1964-1965
COF 3040,NA,NA,139,NA,42.4,NA,4810,4,13.86,55.47,Fundulea,Winter barley,1964-1965
COF 3040,NA,NA,138,NA,38,NA,5180,3,14.29,56.68,Fundulea,Winter barley,1964-1965
COF 3040,NA,NA,NA,NA,NA,NA,4430,5,NA,NA,Fundulea,Winter barley,1964-1965
COF 3040,NA,NA,NA,NA,NA,NA,4010,5,NA,NA,Fundulea,Winter barley,1964-1965
COF 3040,NA,NA,139,NA,43.8,NA,NA,NA,12.11,58.56,Fundulea,Winter barley,1964-1965
COF 3040,NA,NA,144,NA,35,NA,NA,2,12.36,58.02,Fundulea,Winter barley,1964-1965
COF 3040,NA,NA,140,NA,42,NA,NA,NA,12.92,58.21,Fundulea,Winter barley,1964-1965
COF 3040,NA,NA,140,NA,45.4,NA,NA,NA,13,56.38,Fundulea,Winter barley,1964-1965
COF 3043,NA,NA,143,NA,23.1,NA,NA,3,11.33,59.27,Fundulea,Winter barley,1964-1965
COF 3114,NA,NA,138,NA,34.6,NA,NA,4,10.86,57.51,Fundulea,Winter barley,1964-1965
COF 3116,NA,NA,138,NA,26.8,NA,NA,NA,11.78,55.67,Fundulea,Winter barley,1964-1965
COF 3132,NA,NA,139,NA,34.6,NA,NA,2,11.33,58.67,Fundulea,Winter barley,1964-1965
COF 3146,NA,NA,138,NA,37.6,NA,NA,3,13.14,56.27,Fundulea,Winter barley,1964-1965
COF 3172,NA,NA,144,NA,30.3,NA,NA,3,13.01,55.82,Fundulea,Winter barley,1964-1965
COF 3219,NA,NA,139,NA,33,NA,5760,3,14.08,56.18,Fundulea,Winter barley,1964-1965
COF 3219,NA,NA,139,NA,33.9,NA,6140,3,13.72,56.39,Fundulea,Winter barley,1964-1965
