genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
COF 3763,NA,NA,NA
COF 3764,NA,NA,NA
COF 3765,NA,NA,NA
COF 3766,128.19,NA,44.55
COF 3767,127.62,NA,43.01
COF 3768,127,NA,51.82
COF 3769,127.03,NA,38.98
COF 3770,128.69,NA,35.03
COF 3771,129.91,NA,41.53
COF 3772,127.41,NA,45.61
COF 3774,125.34,NA,48.05
COF 3775,127.59,NA,41.92
COF 3776,127.23,NA,39.31
COF 3777,126.18,NA,38.68
COF 3778,125.28,NA,41.18
COF 3779,128.51,NA,46.08
COF 3780,126.01,NA,40.75
COF 3781,128.03,NA,47.02
COF 3782,128.32,NA,38.45
COF 3783,131.78,NA,40.38
COF 3784,128.56,NA,43.21
COF 3785,131.82,NA,41.1
COF 3786,125.64,NA,42.99
COF 3788,124.39,NA,47.91
COF 3789,128.95,NA,37.91
COF 3790,126.72,NA,41.85
COF 3791,126.21,NA,45.46
COF 3792,126.75,NA,41.38
COF 3793,127.6,NA,36.67
COF 3794,127.4,NA,35.82
COF 3795,128.33,NA,37.16
COF 3796,126.22,NA,NA
COF 3797,129.75,NA,NA
COF 3798,128.79,78.45,37.03
COF 3799,NA,NA,NA
COF 3800,NA,NA,NA
COF 3801,NA,NA,NA
COF 3802,NA,NA,NA
COF 3803,NA,NA,NA
COF 3804,NA,NA,NA
COF 3805,NA,NA,NA
COF 3806,NA,NA,NA
COF 3807,NA,NA,NA
COF 3808,NA,NA,NA
COF 3809,NA,NA,NA
COF 3810,NA,NA,NA
COF 3811,NA,NA,NA
COF 3812,NA,NA,NA
COF 3813,NA,NA,NA
COF 3814,NA,NA,NA
COF 3815,NA,NA,NA
COF 3816,NA,NA,NA
COF 3817,NA,NA,NA
COF 3818,NA,NA,NA
COF 3819,NA,NA,NA
COF 3820,NA,NA,NA
COF 3821,NA,NA,NA
COF 3822,NA,NA,NA
COF 3823,NA,NA,NA
COF 3824,NA,NA,NA
COF 3825,NA,NA,NA
COF 3826,NA,NA,NA
COF 3827,NA,NA,NA
