accenumb,campaign,days_to_heading,plant_height,thousand_kernel_weight,powdery_mildew,leaf_rust,yellow_rust,septoria_tritici_ssp,protein_content,sds_sedimentation_volume
TA00345,2005-2006,126,115,NA,2,4,NA,0,NA,NA
TA00346,2005-2006,126,97,NA,4,7,NA,0,NA,NA
TA00347,2005-2006,146,110,NA,2,0,NA,0,NA,NA
TA00348,2005-2006,123,70,NA,4,0,NA,0,NA,NA
TA00349,2005-2006,123,73,NA,4,0,NA,0,NA,NA
TA00350,2005-2006,124,76,NA,4,0,NA,0,NA,NA
TA00351,2005-2006,124,76,NA,4,0,NA,0,NA,NA
TA00352,2005-2006,123,80,NA,0,0,NA,0,NA,NA
TA00353,2005-2006,138,118,NA,0,0,NA,0,NA,NA
TA00354,2005-2006,129,99,NA,2,0,NA,0,NA,NA
TA00356,2005-2006,127,78,NA,0,2,NA,0,NA,NA
TA00357,2005-2006,128,67,NA,0,0,NA,0,NA,NA
TA00358,2005-2006,121,63,NA,0,2,NA,0,NA,NA
TA00359,2005-2006,126,72,NA,2,0,NA,1,NA,NA
TA00362,2005-2006,122,85,NA,0,0,NA,1,NA,NA
TA00363,2005-2006,126,103,NA,0,4,NA,0,NA,NA
TA00364,2005-2006,126,61,NA,0,7,NA,0,NA,NA
TA00365,2005-2006,130,106,NA,0,2,NA,0,NA,NA
TA00366,2005-2006,131,70,NA,0,4,NA,0,NA,NA
TA00368,2005-2006,132,103,NA,0,0,NA,0,NA,NA
TA00369,2005-2006,126,87,NA,0,2,NA,0,NA,NA
TA00370,2005-2006,127,101,NA,7,4,NA,0,NA,NA
TA00371,2005-2006,127,73,NA,0,4,NA,0,NA,NA
TA00372,2005-2006,137,131,NA,4,2,NA,0,NA,NA
TA00373,2005-2006,140,105,NA,4,7,NA,0,NA,NA
TA00374,2005-2006,126,117,NA,7,7,NA,0,NA,NA
TA00375,2005-2006,127,108,NA,9,4,NA,0,NA,NA
TA00376,2005-2006,129,85,NA,4,7,NA,0,NA,NA
TA00377,2005-2006,124,98,NA,0,4,NA,0,NA,NA
TA00380,2005-2006,132,125,NA,0,2,NA,0,NA,NA
TA00381,2005-2006,139,87,NA,0,2,NA,0,NA,NA
TA00382,2005-2006,135,107,NA,0,2,NA,0,NA,NA
TA00386,2005-2006,136,101,NA,2,0,NA,0,NA,NA
TA00387,2005-2006,137,89,NA,0,7,NA,0,NA,NA
TA00388,2005-2006,123,84,NA,0,2,NA,0,NA,NA
TA00389,2005-2006,123,69,NA,0,4,NA,0,NA,NA
TA00390,2005-2006,122,59,NA,0,7,NA,0,NA,NA
TA00391,2005-2006,126,75,NA,0,4,NA,0,NA,NA
TA00392,2005-2006,126,68,NA,7,7,NA,0,NA,NA
TA00393,2005-2006,126,76,NA,2,0,NA,0,NA,NA
TA00394,2005-2006,126,102,NA,7,2,NA,0,NA,NA
TA00397,2005-2006,133,140,NA,2,2,NA,0,NA,NA
TA00399,2005-2006,131,126,NA,2,2,NA,0,NA,NA
TA00400,2005-2006,127,79,NA,0,4,NA,0,NA,NA
TA00401,2005-2006,130,67,NA,0,2,NA,0,NA,NA
TA00402,2005-2006,126,85,NA,0,4,NA,0,NA,NA
TA00403,2005-2006,139,66,NA,0,4,NA,0,NA,NA
TA00404,2005-2006,130,123,NA,0,2,NA,0,NA,NA
TA00405,2005-2006,124,80,NA,0,2,NA,0,NA,NA
TA00406,2005-2006,125,85,NA,2,2,NA,0,NA,NA
TA00407,2005-2006,125,94,NA,7,7,NA,0,NA,NA
TA00408,2005-2006,125,78,NA,7,2,NA,0,NA,NA
TA00409,2005-2006,129,120,NA,2,2,NA,0,NA,NA
TA00410,2005-2006,125,66,NA,2,4,NA,0,NA,NA
TA00411,2005-2006,127,83,NA,0,4,NA,0,NA,NA
TA00412,2005-2006,127,84,NA,0,4,NA,0,NA,NA
TA00413,2005-2006,132,80,NA,0,2,NA,0,NA,NA
TA00415,2005-2006,128,77,NA,0,4,NA,0,NA,NA
TA00416,2005-2006,124,75,NA,0,2,NA,0,NA,NA
TA00417,2005-2006,123,84,NA,2,0,NA,0,NA,NA
TA00418,2005-2006,123,66,NA,7,2,NA,0,NA,NA
TA00419,2005-2006,130,98,NA,2,2,NA,0,NA,NA
TA00420,2005-2006,128,114,NA,4,2,NA,0,NA,NA
TA00422,2005-2006,123,105,NA,4,2,NA,0,NA,NA
TA00423,2005-2006,127,86,NA,7,7,NA,0,NA,NA
TA00424,2005-2006,129,77,NA,4,4,NA,0,NA,NA
TA00426,2005-2006,126,83,NA,0,7,NA,0,NA,NA
TA00427,2005-2006,126,97,NA,7,7,NA,0,NA,NA
TA00428,2005-2006,128,70,NA,4,4,NA,0,NA,NA
TA00429,2005-2006,132,111,NA,2,2,NA,0,NA,NA
TA00430,2005-2006,126,99,NA,0,2,NA,0,NA,NA
TA00431,2005-2006,126,65,NA,0,2,NA,0,NA,NA
TA00433,2005-2006,132,83,NA,4,0,NA,0,NA,NA
TA00434,2005-2006,126,98,NA,2,2,NA,0,NA,NA
TA00436,2005-2006,131,70,NA,4,2,NA,0,NA,NA
TA00437,2005-2006,127,93,NA,0,2,NA,0,NA,NA
TA00438,2005-2006,122,72,NA,0,2,NA,0,NA,NA
TA00439,2005-2006,122,75,NA,0,2,NA,0,NA,NA
TA00440,2005-2006,129,115,NA,7,2,NA,0,NA,NA
TA00448,2005-2006,137,99,NA,4,4,NA,0,NA,NA
TA00449,2005-2006,144,118,NA,2,2,NA,0,NA,NA
TA00450,2005-2006,140,117,NA,2,0,NA,0,NA,NA
TA00451,2005-2006,141,112,NA,4,0,NA,0,NA,NA
TA00452,2005-2006,140,127,NA,4,0,NA,0,NA,NA
TA00453,2005-2006,135,140,NA,0,2,NA,0,NA,NA
TA00454,2005-2006,134,143,NA,0,4,NA,0,NA,NA
TA00458,2005-2006,135,139,NA,0,2,NA,0,NA,NA
TA00462,2005-2006,125,111,NA,0,0,NA,0,NA,NA
TA00463,2005-2006,134,73,NA,0,0,NA,0,NA,NA
TA00464,2005-2006,128,77,NA,0,2,NA,0,NA,NA
TA00466,2005-2006,130,67,NA,0,4,NA,0,NA,NA
TA00467,2005-2006,129,69,NA,0,2,NA,0,NA,NA
TA00468,2005-2006,126,72,NA,4,0,NA,0,NA,NA
TA00470,2005-2006,129,92,NA,2,4,NA,0,NA,NA
TA00471,2005-2006,125,83,NA,9,9,NA,0,NA,NA
TA00472,2005-2006,130,59,NA,7,2,NA,0,NA,NA
TA00473,2005-2006,125,77,NA,7,2,NA,0,NA,NA
TA00474,2005-2006,126,76,NA,0,4,NA,0,NA,NA
TA00476,2005-2006,126,78,NA,0,2,NA,0,NA,NA
TA00477,2005-2006,126,61,NA,0,2,NA,0,NA,NA
TA00478,2005-2006,130,79,NA,0,0,NA,0,NA,NA
TA00480,2005-2006,127,75,NA,0,0,NA,0,NA,NA
TA00481,2005-2006,127,108,NA,0,2,NA,0,NA,NA
TA00482,2005-2006,130,70,NA,0,0,NA,2,NA,NA
TA00483,2005-2006,137,150,NA,4,4,NA,0,NA,NA
TA00484,2005-2006,143,125,NA,0,2,NA,0,NA,NA
TA00485,2005-2006,136,138,NA,7,0,NA,0,NA,NA
TA00486,2005-2006,137,139,NA,4,2,NA,0,NA,NA
TA00488,2005-2006,140,134,NA,2,2,NA,0,NA,NA
TA00489,2005-2006,139,143,NA,0,0,NA,0,NA,NA
TA00490,2005-2006,126,93,NA,0,0,NA,0,NA,NA
TA00491,2005-2006,140,107,NA,7,0,NA,0,NA,NA
TA00492,2005-2006,133,135,NA,0,0,NA,0,NA,NA
TA00493,2005-2006,138,98,NA,2,0,NA,0,NA,NA
TA00496,2005-2006,132,72,NA,2,0,NA,0,NA,NA
TA00497,2005-2006,137,52,NA,7,0,NA,0,NA,NA
TA00498,2005-2006,135,53,NA,9,2,NA,0,NA,NA
TA00502,2005-2006,128,61,NA,9,0,NA,0,NA,NA
TA00503,2005-2006,132,65,NA,2,2,NA,0,NA,NA
TA00507,2005-2006,132,80,NA,0,0,NA,0,NA,NA
TA00518,2005-2006,128,87,NA,0,0,NA,0,NA,NA
TA00519,2005-2006,128,57,NA,7,2,NA,0,NA,NA
TA00520,2005-2006,137,75,NA,7,0,NA,0,NA,NA
TA00521,2005-2006,142,121,NA,4,0,NA,0,NA,NA
TA00522,2005-2006,128,67,NA,0,0,NA,0,NA,NA
TA00523,2005-2006,126,70,NA,0,2,NA,0,NA,NA
TA00524,2005-2006,132,83,NA,0,2,NA,0,NA,NA
TA00525,2005-2006,127,71,NA,4,0,NA,0,NA,NA
TA00526,2005-2006,136,102,NA,2,4,NA,0,NA,NA
TA00527,2005-2006,140,109,NA,0,7,NA,0,NA,NA
TA00528,2005-2006,126,99,NA,4,4,NA,0,NA,NA
TA00530,2005-2006,127,94,NA,2,4,NA,0,NA,NA
TA00531,2005-2006,126,82,NA,2,2,NA,0,NA,NA
TA00532,2005-2006,137,110,NA,0,4,NA,0,NA,NA
TA00535,2005-2006,137,113,NA,0,2,NA,0,NA,NA
