accenumb,agent_id,doi,days_to_heading,thousand_kernel_weight,plant_height,name,description,campaign
IG 107141,AW_17453,NA,130,3,103,CE9402,NA,1993-1994
IG 107142,AW_25892,NA,134,3.2,100,CE9402,NA,1993-1994
IG 107143,AW_31688,NA,134,3.4,113,CE9402,NA,1993-1994
IG 107144,AW_28736,NA,143,2.4,103,CE9402,NA,1993-1994
IG 107145,AW_31689,NA,132,3.4,105,CE9402,NA,1993-1994
IG 107146,AW_37222,NA,132,3.2,100,CE9402,NA,1993-1994
IG 107147,AW_25893,NA,143,2.8,83,CE9402,NA,1993-1994
IG 107148,AW_20267,NA,136,3.8,75,CE9402,NA,1993-1994
IG 107149,AW_31690,NA,138,3.4,78,CE9402,NA,1993-1994
IG 107150,AW_17454,NA,138,3.6,88,CE9402,NA,1993-1994
IG 107151,AW_28737,NA,138,3.8,83,CE9402,NA,1993-1994
IG 107152,AW_23069,NA,146,2.8,105,CE9402,NA,1993-1994
IG 107153,AW_25894,NA,138,2.8,108,CE9402,NA,1993-1994
IG 107154,AW_37223,NA,146,2.4,103,CE9402,NA,1993-1994
IG 107155,AW_23070,NA,151,2.6,90,CE9402,NA,1993-1994
IG 107156,AW_25895,NA,151,2.2,100,CE9402,NA,1993-1994
IG 107157,AW_28738,NA,143,3.8,85,CE9402,NA,1993-1994
IG 107158,AW_23071,NA,143,2.8,80,CE9402,NA,1993-1994
IG 107159,AW_25896,NA,143,2.8,85,CE9402,NA,1993-1994
IG 107160,AW_23072,NA,145,2.4,75,CE9402,NA,1993-1994
IG 107161,AW_34449,NA,143,2.2,90,CE9402,NA,1993-1994
IG 107163,AW_17455,NA,152,2.2,103,CE9402,NA,1993-1994
IG 107164,AW_37224,NA,143,2.4,83,CE9402,NA,1993-1994
IG 107165,AW_23073,NA,140,3.2,95,CE9402,NA,1993-1994
IG 107166,AW_17456,NA,136,3.2,115,CE9402,NA,1993-1994
IG 107167,AW_34450,NA,130,3,93,CE9402,NA,1993-1994
IG 107168,AW_37225,NA,151,2.6,83,CE9402,NA,1993-1994
IG 107171,AW_37226,NA,143,NA,93,CE9403,NA,1993-1994
IG 107172,AW_23074,NA,130,NA,75,CE9403,NA,1993-1994
IG 107450,AW_37227,NA,145,NA,80,CE9403,NA,1993-1994
IG 108446,AW_25897,NA,152,NA,100,CE9403,NA,1993-1994
IG 108448,AW_25898,NA,146,NA,95,CE9403,NA,1993-1994
IG 108454,AW_25899,NA,142,NA,118,CE9403,NA,1993-1994
IG 108471,AW_23075,NA,145,NA,120,CE9403,NA,1993-1994
