experiment_id,instcode,genus,accenumb,agent_id,doi,days_to_heading,thousand_kernel_weight,plant_height,name,description,campaign,site_name,longitude,latitude,remarks
3,LBN002,Hordeum,LRC_SSD_IG_27247,AB_04278,NA,80,44.5,152,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_27250,AB_04503,NA,87,46.2,160,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_27252,AB_04470,NA,67,39.7,152,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_27259,AB_03958,NA,80,40.5,154,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_27261,AB_04192,NA,78,45.6,154,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_27265,AB_04471,NA,82,49.5,152,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_27269,AB_04426,NA,70,50.6,163,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_27328,AB_03959,NA,87,33.3,163,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_27370,AB_04170,NA,80,33.9,156,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_27376,AB_04532,NA,85,39.3,157,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_27421,AB_04352,NA,65,43.4,158,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_27425,AB_04399,NA,67,40.7,154,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_27502,AB_04427,NA,80,36.6,160,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_27536,AB_04353,NA,70,33.2,159,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_27545,AB_04112,NA,65,21.1,144,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_27605,AB_04113,NA,67,34.1,154,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_27674,AB_04564,NA,87,47.7,159,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_27932,AB_04424,NA,85,47,146,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_27963,AB_04407,NA,75,NA,155,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_28068,AB_04582,NA,60,18.9,157,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_28080,AB_04041,NA,65,NA,155,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_28123,AB_04259,NA,45,22.9,162,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_28124,AB_04408,NA,70,28.6,151,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_28277,AB_04299,NA,90,42.4,154,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_28278,AB_04504,NA,55,46.2,146,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_28330,AB_04565,NA,75,33.3,154,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_28331,AB_04171,NA,80,37.4,154,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_28380,AB_04020,NA,85,39.8,153,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_28381,AB_04172,NA,85,37.1,150,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_28383,AB_04566,NA,80,38.5,146,Cat.2,NA,1984-1985,NA,NA,NA,NA
