genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
IG 119057,135.55,97.42,NA
IG 119058,136.25,108.43,34.87
IG 119059,135.44,113.41,NA
IG 119060,NA,92.96,37.96
IG 119061,NA,NA,NA
IG 119062,139.42,89.22,34.23
IG 119063,139.57,101.55,36.11
IG 119064,NA,106.08,31.49
IG 119065,135.47,109.68,NA
IG 119066,NA,101.39,33.5
IG 119067,NA,NA,NA
IG 119068,NA,107.81,30.34
IG 119069,139.55,103.91,33.11
IG 119070,139.23,106.17,NA
IG 119071,143.15,101.08,32.7
IG 119072,142.39,104.16,37.72
IG 119073,144.94,94.16,NA
IG 119074,143.39,95.01,36.43
IG 119075,139.08,118.41,NA
IG 119076,143.69,99.22,34.79
IG 119077,NA,95.92,35.84
IG 119079,146.3,88.12,38.1
IG 119080,NA,NA,NA
IG 119081,139.65,88.91,NA
IG 119082,NA,100.32,44.6
IG 119083,142.9,106.42,NA
IG 119084,139.36,98.16,NA
IG 119085,144.96,103.41,NA
IG 119086,NA,98.75,34.73
IG 119087,NA,95.32,35.57
IG 119088,135.94,85.63,37.46
IG 119089,NA,NA,NA
IG 119090,140.07,102.32,41.59
IG 119091,144.81,93.12,30.19
IG 119092,NA,99.82,37.43
IG 119093,135.88,102.96,36.91
IG 119094,NA,97.18,34.33
IG 119095,NA,NA,NA
IG 119096,137.79,100.29,35.36
IG 119097,143.17,105.17,NA
IG 119098,NA,NA,NA
IG 119099,143.27,100.29,35.6
IG 119100,NA,NA,NA
IG 119101,NA,106.71,38.06
IG 119102,NA,105.92,36.53
IG 119103,137.91,109.96,37.13
IG 119104,139.57,97.81,35.55
IG 119105,NA,NA,NA
IG 119106,137.91,101.86,32.75
IG 119107,NA,NA,NA
IG 119108,NA,NA,NA
IG 119109,145.27,95.67,NA
IG 119110,137.4,99.91,NA
IG 119111,NA,102.18,34.74
IG 119112,NA,98.12,30.67
IG 119113,139.27,113.91,NA
IG 119114,NA,103.72,36.32
IG 119115,145.2,98.12,32.48
IG 119116,NA,NA,NA
IG 119117,NA,NA,NA
IG 119118,137.57,101.92,NA
IG 119119,NA,105.77,38.62
IG 119120,139.34,109.18,NA
IG 119121,NA,101.86,35.89
IG 119122,137.55,105.17,NA
IG 119123,137.67,97.49,38.64
IG 119124,137.63,112.66,NA
IG 119125,139.33,109.04,37.04
IG 119126,139.45,107.81,34.48
IG 119127,145.23,97.17,NA
IG 119128,NA,NA,NA
IG 119129,NA,NA,NA
IG 119130,135.7,98.91,NA
IG 119131,140.47,106.92,NA
IG 119132,NA,107.65,36.67
IG 119133,140.59,116.86,38.55
IG 119134,NA,NA,NA
IG 119135,140.65,124.82,38.69
IG 119136,NA,99.06,34.41
IG 119137,137.66,125.19,39.94
IG 119138,143.27,100.92,34.29
IG 119139,NA,NA,NA
IG 119141,143.21,99.41,NA
IG 119142,NA,98.75,33.82
IG 119143,NA,104.69,34.33
IG 119144,NA,97.79,36.76
IG 119145,NA,NA,NA
IG 119146,137.34,111.67,NA
IG 119147,NA,95.92,37.52
IG 119148,137.15,111.92,NA
IG 119149,143.2,93.28,36.78
IG 119150,NA,96.08,37.03
IG 119151,NA,88.75,34.31
IG 119152,137.49,108.66,NA
IG 119153,NA,105.92,37.41
IG 119154,NA,102.96,39.75
IG 119155,137.66,101.71,35.28
