accenumb,campaign,plant_height
CGN08454,1987-1987,120
CGN08455,1987-1987,125
CGN08458,1987-1987,90
CGN08461,1987-1987,105
CGN08464,1987-1987,105
CGN08467,1987-1987,90
CGN08469,1987-1987,80
CGN08472,1987-1987,90
CGN08474,1987-1987,100
CGN08475,1987-1987,85
CGN08476,1987-1987,100
CGN08484,1987-1987,90
CGN08487,1987-1987,100
CGN08488,1987-1987,100
CGN08490,1987-1987,100
CGN08491,1987-1987,105
CGN08496,1987-1987,125
CGN08497,1987-1987,130
CGN08499,1987-1987,105
CGN08503,1987-1987,130
CGN10412,1987-1987,130
CGN10413,1987-1987,125
CGN10474,1987-1987,120
CGN10495,1987-1987,100
CGN10496,1987-1987,90
CGN10498,1987-1987,65
CGN10499,1987-1987,90
CGN10500,1987-1987,90
CGN10540,1987-1987,90
CGN10541,1987-1987,75
CGN10542,1987-1987,70
CGN10543,1987-1987,85
CGN10544,1987-1987,90
CGN10545,1987-1987,90
CGN10547,1987-1987,95
CGN10548,1987-1987,90
CGN10549,1987-1987,85
CGN10550,1987-1987,65
CGN10551,1987-1987,95
CGN10552,1987-1987,90
CGN10553,1987-1987,85
CGN10556,1987-1987,90
CGN10558,1987-1987,90
CGN10559,1987-1987,85
CGN10566,1987-1987,85
CGN10567,1987-1987,70
CGN12016,1987-1987,120
CGN12026,1987-1987,90
CGN12027,1987-1987,100
CGN12044,1987-1987,90
CGN12114,1987-1987,70
CGN12118,1987-1987,75
CGN12264,1987-1987,85
CGN12265,1987-1987,90
CGN12266,1987-1987,80
CGN12267,1987-1987,95
CGN12269,1987-1987,130
CGN12270,1987-1987,125
CGN12273,1987-1987,130
CGN12275,1987-1987,130
CGN12276,1987-1987,135
CGN12277,1987-1987,125
CGN12278,1987-1987,135
CGN12281,1987-1987,85
CGN12283,1987-1987,145
CGN12284,1987-1987,115
CGN12285,1987-1987,100
CGN12286,1987-1987,145
CGN12288,1987-1987,145
CGN12289,1987-1987,140
CGN12290,1987-1987,140
