genotype,plant_height_BLUE
CGN01663,NA
CGN01664,82.69
CGN01665,NA
CGN01666,NA
CGN01667,NA
CGN01668,NA
CGN01669,NA
CGN01670,NA
CGN01671,NA
CGN01672,NA
CGN01673,NA
CGN01674,NA
CGN01675,NA
CGN01676,NA
CGN01677,NA
CGN01678,NA
CGN01679,NA
CGN01680,NA
CGN01681,NA
CGN01682,NA
CGN01683,NA
CGN01684,NA
CGN01685,84.93
CGN01686,91.09
CGN01687,89.1
CGN01688,85.06
CGN01689,78.11
CGN01690,NA
CGN01691,88.08
CGN01692,NA
CGN01693,NA
CGN01694,NA
CGN01695,88.21
CGN01696,NA
CGN01697,NA
CGN01698,75.97
CGN01699,NA
CGN01700,87.22
CGN01701,NA
CGN01702,NA
CGN01703,NA
CGN01704,NA
CGN01705,NA
CGN01706,84.87
CGN01707,NA
CGN01708,NA
CGN01709,78.42
CGN01710,NA
CGN01711,NA
CGN01712,NA
CGN01713,NA
CGN01714,NA
CGN01715,NA
CGN01716,NA
CGN01717,NA
CGN01718,NA
CGN01719,NA
CGN01720,NA
CGN01721,NA
CGN01722,NA
CGN01723,NA
CGN01724,NA
CGN01725,NA
CGN01726,NA
CGN01727,NA
CGN01728,NA
CGN01729,89.1
CGN01730,NA
CGN01731,NA
CGN01732,NA
CGN01733,NA
CGN01734,NA
CGN01735,NA
CGN01736,NA
CGN01737,NA
CGN01738,NA
CGN01739,NA
CGN01740,NA
CGN01741,NA
CGN01742,NA
CGN01743,NA
CGN01744,NA
CGN01745,NA
CGN01746,NA
CGN01747,NA
CGN01748,NA
CGN01749,NA
CGN01750,NA
CGN01751,NA
CGN01752,NA
CGN01753,NA
CGN01754,86.09
CGN01755,NA
CGN01756,NA
CGN01757,NA
CGN01758,NA
CGN01759,NA
CGN01760,NA
CGN01761,76.76
CGN01762,NA
CGN01763,NA
CGN01764,NA
CGN01765,NA
CGN01766,NA
CGN01767,NA
CGN01768,93.08
CGN01769,92.65
CGN01770,NA
CGN01771,85.59
CGN01772,72.12
CGN01773,NA
CGN01774,81.76
CGN01776,69.1
CGN01777,NA
CGN01778,NA
CGN01779,NA
CGN01780,NA
CGN01781,74.1
CGN01782,72.05
CGN01783,NA
CGN01784,NA
CGN01785,NA
CGN01786,NA
CGN01787,NA
CGN01788,62.05
CGN01789,NA
CGN01790,NA
CGN01791,72.05
CGN01792,73.21
CGN01793,NA
CGN01794,66.09
CGN01795,NA
CGN01796,NA
CGN01797,NA
CGN01798,NA
CGN01799,76.94
CGN01800,73.26
CGN01801,NA
CGN01802,NA
CGN01803,NA
CGN01804,NA
CGN01805,NA
CGN01806,74.04
CGN01807,NA
CGN01808,70.06
CGN01809,82.69
CGN01810,88
CGN01812,NA
CGN01813,61.09
CGN01814,NA
CGN01816,NA
CGN01817,86.76
CGN01818,NA
CGN01819,NA
CGN01820,67.12
CGN01821,NA
CGN01822,69.1
CGN01823,NA
CGN01824,68.91
CGN01825,78.29
CGN01826,NA
CGN01827,NA
CGN01828,NA
CGN01829,NA
CGN01830,86.76
CGN01831,64.1
CGN01834,NA
CGN01836,NA
CGN01839,NA
CGN01840,NA
CGN01848,NA
CGN01849,NA
CGN01856,NA
CGN01857,NA
CGN01859,NA
CGN01860,NA
CGN01863,NA
CGN01869,NA
CGN01870,NA
CGN01871,NA
CGN01872,NA
CGN01878,NA
CGN01899,NA
CGN01901,NA
CGN01902,NA
CGN01904,NA
CGN01909,NA
CGN01919,NA
CGN01923,NA
CGN01924,NA
CGN01925,NA
CGN01926,NA
CGN01927,NA
CGN01928,NA
CGN01932,NA
CGN01934,NA
CGN01936,NA
CGN01937,NA
CGN01939,NA
CGN01951,NA
CGN01952,NA
CGN01953,105.93
CGN01976,NA
CGN01993,NA
CGN01997,NA
CGN01998,NA
CGN02009,NA
CGN02010,NA
CGN02027,NA
CGN02028,NA
CGN02034,NA
CGN02036,NA
CGN02063,NA
CGN02071,NA
CGN02107,NA
CGN02113,NA
CGN02114,NA
CGN02138,NA
CGN02156,NA
CGN02214,NA
CGN02217,NA
CGN02218,NA
CGN02269,NA
CGN02270,NA
CGN02271,NA
CGN02272,NA
CGN02273,NA
CGN02274,NA
CGN02275,NA
CGN02276,NA
CGN02277,NA
CGN02278,NA
CGN02279,NA
CGN02280,NA
CGN02281,NA
CGN02282,121.43
CGN02283,NA
CGN02284,NA
CGN02285,NA
CGN02286,121.43
CGN02287,114.61
CGN02288,117.87
CGN02289,NA
CGN02290,75.75
CGN02291,NA
CGN02292,NA
CGN02293,104.27
CGN02294,103.1
CGN02295,97.66
CGN02296,99.61
CGN02297,NA
CGN02298,72.71
CGN02299,84.41
CGN02300,NA
CGN02301,NA
CGN02302,NA
CGN02303,NA
