accession_match,responsibility,instcode,crop,genus,species,species_authority,accenumb,declatitude,declongitude
ICARDA_wheat/IG 42148,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 42148,NA,NA
ICARDA_wheat/IG 42152,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 42152,NA,NA
ICARDA_wheat/IG 42155,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 42155,NA,NA
ICARDA_wheat/IG 42158,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 42158,NA,NA
ICARDA_wheat/IG 42207,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 42207,NA,NA
ICARDA_wheat/IG 42209,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 42209,NA,NA
ICARDA_wheat/IG 42214,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 42214,NA,NA
ICARDA_wheat/IG 42224,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 42224,NA,NA
ICARDA_wheat/IG 42234,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 42234,NA,NA
ICARDA_wheat/IG 42236,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 42236,NA,NA
ICARDA_wheat/IG 42238,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 42238,NA,NA
ICARDA_wheat/IG 42243,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 42243,NA,NA
ICARDA_wheat/IG 42261,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 42261,NA,NA
ICARDA_wheat/IG 42266,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 42266,NA,NA
ICARDA_wheat/IG 42288,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 42288,NA,NA
ICARDA_wheat/IG 42296,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 42296,NA,NA
ICARDA_wheat/IG 79465,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 79465,NA,NA
ICARDA_wheat/IG 79478,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 79478,NA,NA
ICARDA_wheat/IG 79489,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 79489,NA,NA
ICARDA_wheat/IG 79490,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 79490,NA,NA
ICARDA_wheat/IG 79497,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 79497,NA,NA
ICARDA_wheat/IG 79505,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 79505,NA,NA
ICARDA_wheat/IG 79507,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 79507,NA,NA
ICARDA_wheat/IG 79512,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 79512,NA,NA
ICARDA_wheat/IG 79516,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 79516,NA,NA
ICARDA_wheat/IG 79519,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 79519,NA,NA
ICARDA_wheat/IG 79522,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 79522,NA,NA
ICARDA_wheat/IG 79523,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 79523,NA,NA
ICARDA_wheat/IG 79525,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 79525,NA,NA
ICARDA_wheat/IG 79533,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 79533,NA,NA
ICARDA_wheat/IG 79538,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 79538,NA,NA
ICARDA_wheat/IG 79542,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 79542,NA,NA
ICARDA_wheat/IG 79549,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 79549,NA,NA
ICARDA_wheat/IG 79564,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 79564,NA,NA
ICARDA_wheat/IG 79572,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 79572,NA,NA
ICARDA_wheat/IG 79576,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 79576,NA,NA
ICARDA_wheat/IG 79586,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 79586,NA,NA
ICARDA_wheat/IG 79594,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 79594,NA,NA
ICARDA_wheat/IG 79605,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 79605,NA,NA
ICARDA_wheat/IG 79606,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 79606,NA,NA
ICARDA_wheat/IG 79621,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 79621,NA,NA
