genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
NC029456,NA,NA,NA
NC029457,NA,NA,NA
NC029458,NA,NA,NA
NC029459,NA,NA,NA
NC029460,NA,NA,NA
NC029461,NA,NA,NA
NC029462,NA,NA,NA
NC029463,NA,NA,NA
NC029464,NA,NA,NA
NC029465,NA,NA,NA
NC029466,NA,NA,NA
NC029467,NA,NA,NA
NC029468,NA,NA,NA
NC029470,NA,NA,NA
NC029471,NA,NA,NA
NC029472,NA,NA,NA
NC029473,176.28,102.95,46.11
NC029474,NA,NA,NA
NC029475,NA,NA,NA
NC029478,NA,NA,NA
NC029479,NA,NA,NA
NC029480,NA,NA,NA
NC029482,NA,NA,NA
NC029483,NA,NA,NA
NC029484,NA,NA,NA
NC029486,NA,NA,NA
NC029487,NA,NA,NA
NC029489,178.06,120.35,42.13
NC029490,179.36,111.91,34.31
NC029491,NA,NA,NA
NC029492,NA,NA,NA
NC029493,NA,NA,NA
NC029495,177.33,122.4,43.52
NC029498,NA,NA,NA
NC029499,NA,NA,NA
NC029501,NA,NA,NA
NC029502,NA,NA,NA
NC029503,183.16,123.05,33.42
NC029504,NA,NA,NA
NC029505,NA,NA,NA
NC029506,NA,NA,NA
NC029508,NA,NA,NA
NC029509,NA,NA,NA
NC029510,186.47,118.74,45.54
NC029511,NA,NA,NA
NC029512,NA,NA,NA
NC029514,NA,NA,NA
NC029517,NA,NA,NA
NC029518,NA,NA,NA
NC029519,NA,NA,NA
NC029520,NA,NA,NA
NC029521,NA,NA,NA
